trial,iterations,depth,learning_rate,l2_leaf_reg,subsample,auroc_mean,auroc_std,elapsed_s
0,200,8,0.05,3,0.8,0.8762608328086962,0.0055203470095854,105.2
1,800,4,0.1,1,0.6,0.8754572138915595,0.0046998270613726,62.3
2,400,8,0.1,10,1.0,0.8787277126830343,0.0035246256341454,205.7
3,800,6,0.01,10,0.8,0.8742271844370544,0.004379249400167,144.5
4,400,6,0.01,10,1.0,0.8644459022444765,0.0046342679827426,73.5
5,400,6,0.1,3,0.8,0.8807550945015915,0.0046437860657774,72.3
6,400,4,0.01,3,1.0,0.8566707971687743,0.0053455548548032,34.6
7,200,8,0.1,1,0.8,0.8731907139479359,0.0031952513411755,110.6
8,200,8,0.1,3,0.6,0.871349695009276,0.0050521556943964,102.2
9,800,6,0.1,10,1.0,0.8782185538735178,0.0056382658957907,156.0
10,800,4,0.05,3,0.8,0.880571554535547,0.0044310214254035,70.2
11,200,6,0.01,10,1.0,0.8532138935035308,0.0046276900534429,41.7
12,800,8,0.05,10,0.8,0.8839335881061444,0.0039317080965519,425.2
13,200,8,0.05,1,0.8,0.8745391050405201,0.0041200321861354,103.6
14,800,4,0.05,1,1.0,0.8802937512552952,0.0056253245722031,70.5
