trial,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,auroc_mean,auroc_std,elapsed_s
0,200,7,0.05,0.8,0.8,10.0,0.8791487379849471,0.0047962586248834,42.5
1,200,7,0.01,0.6,0.8,10.0,0.870321673906087,0.0036452657674847,47.5
2,800,7,0.1,1.0,0.8,1.0,0.8824016078052118,0.0028932134445968,139.2
3,800,5,0.05,0.8,0.6,10.0,0.8809841141060474,0.0035477799835845,62.9
4,800,5,0.05,1.0,0.8,5.0,0.8768774596979734,0.005303067283646,71.9
5,400,3,0.01,0.8,1.0,1.0,0.8592670627897497,0.0026233270266673,20.1
6,800,7,0.01,0.8,0.6,10.0,0.8835353090270867,0.0045381559700437,132.8
7,800,5,0.01,1.0,0.8,10.0,0.8778230466230227,0.0048385445111961,73.4
8,800,7,0.1,0.6,0.8,5.0,0.8793507457400601,0.0021502665271363,109.7
9,400,3,0.05,0.6,1.0,10.0,0.8801712902385841,0.0043949322043046,19.7
10,800,7,0.05,1.0,0.8,1.0,0.8802405870139726,0.0036369587420916,165.4
11,800,5,0.01,0.8,1.0,1.0,0.8797309959307441,0.0038516720408898,95.9
12,400,3,0.1,0.8,0.6,1.0,0.8772520062166208,0.0024601081401602,16.7
13,400,7,0.1,0.8,0.6,10.0,0.8796767674366565,0.0033442911220454,53.1
14,400,7,0.01,0.6,1.0,10.0,0.8783131901464071,0.0039439516631902,94.4
