model,fold,seed,auroc,auprc,brier,cal_slope,cal_intercept
SOFA_first_day,1,0,0.6428565983133518,0.279657738875602,,,
SOFA_onset,1,0,0.6208883948787618,0.2455638906305593,,,
XGBoost,1,42,0.889953145274046,0.6708015683700865,0.09308185014899949,1.1730246027327604,-0.8135686393607913
XGBoost,1,1,0.8900614005796994,0.6706255478071453,0.09284695294456911,1.1538239084756186,-0.8164053268551592
XGBoost,1,2,0.8908428209198042,0.6756936719268571,0.09192239365603404,1.1735113613255912,-0.791994911385206
XGBoost,1,3,0.8907216054719245,0.6736334565253836,0.09236943501473269,1.1740956115208003,-0.8032001901697118
XGBoost,1,4,0.8890962511645071,0.6702725664472027,0.09310174926543034,1.1586123587723944,-0.812427123193749
CatBoost,1,42,0.8886594181353558,0.6691453515627784,0.08438404669337053,0.8807371398093321,-0.4388114786157659
CatBoost,1,1,0.8850298159507333,0.6685339965433185,0.08448653430631914,0.8725284345245233,-0.42379824154209794
CatBoost,1,2,0.8891839227148602,0.6711461877087351,0.08363079844019744,0.8901073282942206,-0.4143750175485864
CatBoost,1,3,0.8856701994489653,0.6644405971296811,0.08476793768502604,0.868990606848748,-0.41759148931010476
CatBoost,1,4,0.8865004109127447,0.6668148038210848,0.0845986901950267,0.8705894723199614,-0.4379424328975548
SOFA_first_day,2,0,0.6438493829329687,0.28905323859802656,,,
SOFA_onset,2,0,0.6016267957204463,0.21131130745378765,,,
XGBoost,2,42,0.8803550761450405,0.6601703087328232,0.0988872486431185,1.0660565552749681,-0.9666198416375108
XGBoost,2,1,0.8800991585275952,0.6584631065903015,0.09910905533919603,1.060455839477223,-0.9675172460182389
XGBoost,2,2,0.8794819005129811,0.6593997315967519,0.0992198132724168,1.0618064707352306,-0.9755556326867026
XGBoost,2,3,0.8803122958866019,0.6574029390795091,0.09947002975253601,1.0634187651458622,-0.9730534580778013
XGBoost,2,4,0.8796927460724285,0.6592164061724328,0.09925832041140113,1.0571650944428594,-0.9768980153128571
CatBoost,2,42,0.8790334717325623,0.6511009218294928,0.08829387486941112,0.8173428634543269,-0.5879511542611845
CatBoost,2,1,0.8795850314931456,0.6620677629853626,0.086533342382398,0.8283631310057656,-0.5601941248674057
CatBoost,2,2,0.8807202362081411,0.6628324287209914,0.08600467500214824,0.8405669749740702,-0.5522492378610186
CatBoost,2,3,0.8785101774998758,0.6492740743159493,0.0885337298349583,0.8100492051216919,-0.5747259545490162
CatBoost,2,4,0.8778256933648584,0.6543746185385813,0.08775307464167975,0.8220837565981022,-0.5689095856761622
SOFA_first_day,3,0,0.6360651999499706,0.2935549078032528,,,
SOFA_onset,3,0,0.6257569240437209,0.24233256629594768,,,
XGBoost,3,42,0.8802977056621731,0.6803022412298356,0.0947080892636172,1.1293967560940146,-0.8727445979321438
XGBoost,3,1,0.881232707050185,0.6827677213107628,0.09487548531855358,1.136507937953619,-0.8820262199906661
XGBoost,3,2,0.8801680562038029,0.6817858132054243,0.09501191663813661,1.140893813291647,-0.8800592909070072
XGBoost,3,3,0.8805257361801303,0.6837588168815132,0.09485010848465886,1.141596559316481,-0.8808079887637434
XGBoost,3,4,0.8812746524631871,0.6825897807050082,0.09560427232668929,1.1416520367200875,-0.9010083375577984
CatBoost,3,42,0.8841078744505151,0.6864780434039219,0.0816386161252647,0.8917571955806166,-0.42645982784603903
CatBoost,3,1,0.8869716021927537,0.6871334948614347,0.08184275710793003,0.8947422682472101,-0.4559553499517322
CatBoost,3,2,0.8845334297315187,0.6868144825586341,0.08240124117765828,0.8789811321218782,-0.45580662348003037
CatBoost,3,3,0.8848056935940966,0.682644013585563,0.08250439390870644,0.8882196755462802,-0.4494416099634521
CatBoost,3,4,0.8834085300191882,0.6796345394208537,0.08281568673310877,0.8859385084411502,-0.45970433116910864
SOFA_first_day,4,0,0.64361956883166,0.2705420349529614,,,
SOFA_onset,4,0,0.5985938372273929,0.22739895110701525,,,
XGBoost,4,42,0.8879554127886227,0.6480985897611419,0.096630124912812,1.1334597386881509,-0.8630870130734826
XGBoost,4,1,0.8872606442205321,0.6480470957469636,0.09672417952867265,1.1308472967311733,-0.8606372087130907
XGBoost,4,2,0.8891687791901942,0.6483217529321789,0.09631708827700675,1.1359382748144051,-0.8582020677345364
XGBoost,4,3,0.8873513988413915,0.6493546866058282,0.09670011345561537,1.1360467147134516,-0.8616031433448164
XGBoost,4,4,0.8885739169694362,0.6462968639395712,0.09666745250672577,1.125952620525951,-0.8592965572229814
CatBoost,4,42,0.8871553993660904,0.648052445922278,0.08668996374820528,0.8728192593108781,-0.4668744161609135
CatBoost,4,1,0.8827938390577383,0.6450360426410002,0.08708424873738252,0.8478041235589958,-0.4692574870912184
CatBoost,4,2,0.885849753055914,0.6429236859747253,0.08695972900270925,0.8623726497945993,-0.45739415313687554
CatBoost,4,3,0.8847942539360051,0.6440803609219308,0.0873087905374981,0.8473645266314132,-0.4963789628513468
CatBoost,4,4,0.8834596271586636,0.6435910097679799,0.08715449401894945,0.8418551041797647,-0.46277576356564165
SOFA_first_day,5,0,0.6279636340895709,0.2841386869544352,,,
SOFA_onset,5,0,0.6075724435414741,0.23707956662717178,,,
XGBoost,5,42,0.8741721500761119,0.6530250993463546,0.10066063425121767,1.0056459328100602,-0.9943243634887567
XGBoost,5,1,0.8751796026320364,0.6541386577489205,0.1000396693742713,1.0096296805021268,-0.9805823165831625
XGBoost,5,2,0.8761268063220127,0.6548550816225571,0.09985224157157123,1.0167570656865115,-0.9812309344512982
XGBoost,5,3,0.8766835363491323,0.6568554920387674,0.09965584884836778,1.0252958006100317,-0.9776090337150866
XGBoost,5,4,0.8751018129570143,0.6538470550452159,0.10024232351611083,1.0091666306447231,-0.9859260355721917
CatBoost,5,42,0.8741233408682547,0.6529928093656048,0.08933686802206676,0.7792249447771252,-0.6140016666679562
CatBoost,5,1,0.8760734212509189,0.6569129513163176,0.08815464342059484,0.791752029339442,-0.6140805325468947
CatBoost,5,2,0.8749248795785325,0.6556748947100386,0.08915234304910497,0.7896472399565989,-0.6242320220696336
CatBoost,5,3,0.8716607638030914,0.6476830519457156,0.08994116467116708,0.7815197713842079,-0.6334458696578105
CatBoost,5,4,0.8705732336405264,0.6457050083562274,0.09104697263468352,0.772293835597108,-0.6688752998519208
