model,window_size,step,seed,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,cal_slope_mean,cal_slope_std,cal_intercept_mean,cal_intercept_std
BiLSTM,6,1,42,0.8668853964300404,0.0044199837972408364,0.6359449521433167,0.009829998791660058,0.13546910290418193,0.0035251673939637835,0.9853341386167814,0.0904890464950563,-1.5456817827241947,0.03079159150768835
BiLSTM,6,1,1,0.8667637852361663,0.004604253738211295,0.635254304592439,0.005656916786918308,0.13589340272158598,0.0033227882521225643,0.9939806479450637,0.02603263567829951,-1.5541745746055349,0.03481519178844188
BiLSTM,6,1,2,0.8679637127445193,0.00372449804261859,0.6379626633607907,0.014946393112633308,0.13438719920084816,0.004300112000882339,0.9979580904980908,0.10952934251393225,-1.5414006989757032,0.05447520438924033
BiLSTM,6,1,3,0.8662734432698184,0.003974634622133168,0.6361751826283895,0.010143107248867037,0.13706143603460724,0.001485334949340996,0.9817008068776488,0.10788996840763777,-1.5707235535197484,0.017009553720688252
BiLSTM,6,1,4,0.8687390578972607,0.004542397976723368,0.638037741485169,0.01304510942492247,0.1358351521841584,0.003660625182866528,0.9956342903986173,0.05781896507106038,-1.5742671457211759,0.03489162735024282
Transformer,6,1,42,0.8659850831735391,0.004783185328664669,0.6372016036526678,0.013942211122834699,0.13907451615430946,0.004756017495055108,1.0082900854987324,0.03499668756260213,-1.5744228640943,0.04442744664987677
Transformer,6,1,1,0.8652809496579609,0.005622453164376083,0.6344565484087181,0.015060905109662808,0.1354744887425722,0.0023704348493199558,0.9793061044453036,0.06392074952755071,-1.5230868653047287,0.01922455891374224
Transformer,6,1,2,0.862238639131996,0.005015455634493617,0.6285539648118975,0.016194483546053042,0.14448093927693234,0.003299030687427211,1.0128806559983796,0.06986758089987676,-1.6185526144985325,0.03933601131910583
Transformer,6,1,3,0.8633466022443276,0.0033367823214901066,0.6296101540117996,0.013503303825610114,0.13988272789820494,0.0007055003672794664,1.0169663673584315,0.059731737945081055,-1.5693636742283583,0.008616948072135023
Transformer,6,1,4,0.8649642191021811,0.003460689771597089,0.6303698704534615,0.010672036979356278,0.138967832668241,0.0018172830567437354,1.0345958915483666,0.08058188934338376,-1.5644799576413948,0.013507254237361035
