trial,learning_rate,l2,gru1,gru2,dropout,auroc_mean,auroc_std,elapsed_s
0,0.001,0.001,48,24,0.3,0.9100090452260207,0.005541689611644935,89.7
1,5e-05,0.01,64,16,0.2,0.9087576708847954,0.007395383526670837,251.5
2,0.0001,0.001,64,32,0.4,0.9107307845040759,0.0072476623681303224,269.5
3,5e-05,0.005,32,32,0.3,0.91007193251143,0.008455537827704522,284.6
4,0.0001,0.005,32,32,0.4,0.9118490324616957,0.00703079269514476,260.0
5,0.0001,0.005,64,24,0.3,0.9108108290711562,0.006244554373093439,217.4
6,0.0001,0.01,32,24,0.4,0.9101357592174777,0.005928909600986528,220.4
7,0.001,0.001,64,16,0.3,0.9096934355247296,0.006463875118204968,91.7
8,0.001,0.001,64,24,0.2,0.9068187193698014,0.005493196154902238,81.3
9,5e-05,0.005,64,32,0.4,0.9084976072821377,0.007450475390329178,287.9
10,5e-05,0.01,48,24,0.3,0.910390280808686,0.006522508454421144,290.4
11,0.001,0.005,32,32,0.4,0.9090840222164944,0.004566371118560422,114.8
12,5e-05,0.001,48,32,0.3,0.9068327523484677,0.007038598345504058,295.3
13,0.001,0.001,48,16,0.3,0.9091014864862865,0.006032091556013344,93.9
14,5e-05,0.01,48,16,0.4,0.9105568272755087,0.0073178538178945455,283.6
