experiment,window_size,step,variant,seed,horizon,device,elapsed_s,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,cal_slope_mean,cal_slope_std,cal_intercept_mean,cal_intercept_std
E2,6,1,no_mlp,42,24,GPU,607.6,0.8498816505235917,0.01074207847839184,0.613717094564863,0.01877161114195799,0.14507383531832457,0.00677965344853953,1.0070122562808532,0.12591249897237636,-1.5650744579528477,0.0450331851755237
E2,6,1,no_mlp,1,24,GPU,540.9,0.8485543849588304,0.006955952100291568,0.6112192150847463,0.014785458079504264,0.14431837958339544,0.003924147168199587,1.0112909217511987,0.06717996871470472,-1.563707463547043,0.030288072762255848
E2,6,1,no_mlp,2,24,GPU,615.8,0.8488299668070727,0.008498378692040938,0.6145190077439464,0.016286843533618946,0.1462217063005136,0.007094656795251527,0.983967941391743,0.08587303282615348,-1.5906652293225085,0.04547040424995386
E2,6,1,no_mlp,3,24,GPU,597.4,0.8487150579107716,0.00893930289313489,0.6141250361602377,0.01771455426063587,0.14469772095085626,0.004972761551383728,0.9748406065357141,0.09698935290542947,-1.5748648926162894,0.04084305678563542
E2,6,1,no_mlp,4,24,GPU,688.6,0.8503834232562533,0.007696657312993528,0.6149016192139161,0.014721568835558748,0.14481097755461353,0.005797640682422762,0.9613861492047853,0.1002742720240805,-1.5827482074349306,0.05217095129188456
E2,6,1,no_cnn,42,24,GPU,748.8,0.9078566727228287,0.0028936957466177953,0.7100568225675457,0.00878159394728157,0.11651735405396768,0.0022342672779861847,1.0399563120665762,0.0814781287138879,-1.5815474235941216,0.06247294469843939
E2,6,1,no_cnn,1,24,GPU,1164.8,0.9107795191403548,0.0035458469831306494,0.7187421209728051,0.009265968565617662,0.11280487724747248,0.005148714492321466,0.9342357228218795,0.04143849437482787,-1.5113505137921455,0.08508001087486791
E2,6,1,no_cnn,2,24,GPU,1080.2,0.911711893693114,0.004011926853304488,0.7229249187698512,0.011374943651721281,0.10969060033050164,0.005072662157412872,0.9732351193205139,0.05907446869091102,-1.4917058316369147,0.08663101385838623
E2,6,1,no_cnn,3,24,GPU,1262.2,0.9120809743199987,0.0033212652919348347,0.7198614423182332,0.011504509226100933,0.11372672721296528,0.0009079693494979043,0.949943161855191,0.07932741710818095,-1.5416565290219977,0.057445380635092316
E2,6,1,no_cnn,4,24,GPU,1277.6,0.9116049611923737,0.00488611034125508,0.7210631926687798,0.01120362786355069,0.11395971304831624,0.004344310776624858,0.9392312865236381,0.06592794841945805,-1.5520276452386372,0.08556571786856951
E2,6,1,gru_only,42,24,GPU,882.5,0.8464334059727264,0.004697755598067495,0.6078237730962153,0.013258889268405119,0.15010319842238692,0.005671959787064452,0.9990841140486678,0.1368147214433017,-1.6222433162446506,0.06381054917405878
E2,6,1,gru_only,1,24,GPU,967.5,0.8462781750893763,0.00495544881451457,0.607412120979949,0.0167368006599467,0.149970724324179,0.0041643538523446315,1.002188453424918,0.06720108153905045,-1.6304193369793623,0.035227533172206206
E2,6,1,gru_only,2,24,GPU,1000.1,0.8456811826745321,0.00665258357629169,0.6039636644150057,0.014168677809613645,0.1476156094899475,0.006678566064786235,0.9706002410276582,0.10008084592430433,-1.5944789241624615,0.06437017747683463
E2,6,1,gru_only,3,24,GPU,850.5,0.8468733184393507,0.00868662424393698,0.6060386498218082,0.01769558710110765,0.14789100097104346,0.0050807029717885085,0.9799390587103763,0.07781460822461923,-1.612213326042672,0.03357206066562765
E2,6,1,gru_only,4,24,GPU,954.5,0.8475598409892491,0.007891629844907953,0.6111374469358041,0.014874900990646313,0.15053008200710238,0.005449405336810089,0.9853731651604433,0.07820807067992681,-1.6518582203049583,0.04009293673582836
E2,6,1,full,42,24,GPU,823.9,0.9098142168239839,0.003076370625153419,0.7132449764133828,0.009940722475994698,0.11375073299914304,0.004763496675285369,0.9684572425541289,0.09171211882139764,-1.5031653072224316,0.07945528942915576
E2,6,1,full,1,24,GPU,765.0,0.9087179781908364,0.0037859388722829425,0.7081558024070307,0.017174808564828288,0.11462770199328651,0.004529832767884169,0.971901782019138,0.0824683540168875,-1.5183375825292011,0.08221905014813115
E2,6,1,full,2,24,GPU,687.3,0.9090555875734895,0.003574760002513476,0.7111845304467942,0.011477515575829393,0.11450034230598909,0.005398410393206968,0.9794301269187329,0.09999945595941419,-1.5161269228874954,0.07196597057231824
E2,6,1,full,3,24,GPU,998.8,0.9109676561767769,0.005544390706702673,0.7179554267806172,0.021482378525022577,0.11124054731851334,0.0037196612027480336,0.9034501509851485,0.08747024675066792,-1.4574941909505292,0.07771031970346357
E2,6,1,full,4,24,GPU,742.5,0.9084594764062054,0.004058431053932328,0.7105787189797181,0.015940835221337633,0.11392901865002902,0.0033854214232678093,0.9481187480371238,0.08522846338522999,-1.5089996849494753,0.05837085817351434
