Model,Operating point,threshold,sensitivity,specificity,ppv,npv,flagged,false_alerts
Proposed model,Youden,0.1263953846596434,0.8401976935749588,0.7877889745109662,0.4159869494290375,0.9647912885662432,1226,716
Proposed model,Sens 0.80,0.20987821094156858,0.771004942339374,0.8526970954356846,0.48497409326424873,0.9539124668435013,965,497
XGBoost,Youden,0.16567617478579275,0.729818780889621,0.8168346176644932,0.4175306314797361,0.9438356164383561,1061,618
XGBoost,Sens 0.80,0.13424826656606845,0.7792421746293245,0.7697095435684648,0.3784,0.9509337239106554,1250,777
CatBoost,Youden,0.12206686757729197,0.7990115321252059,0.7433313574392413,0.35899333826794966,0.9536121673003802,1351,866
CatBoost,Sens 0.80,0.13598996992155843,0.7825370675453048,0.7732661529342028,0.38306451612903225,0.9518423932871215,1240,765
Bi-LSTM,Youden,0.1258369094107589,0.7891268533772653,0.7341434499110847,0.3481104651162791,0.9508637236084453,1376,897
Bi-LSTM,Sens 0.80,0.13772862181033182,0.7742998352553542,0.7608180201541197,0.36805011746280347,0.9493343195266272,1277,807
Transformer,Youden,0.14471557696101792,0.7528830313014827,0.7593360995850622,0.36012608353033887,0.9446902654867256,1269,812
Transformer,Sens 0.80,0.1466372887614806,0.7462932454695222,0.7625963248369887,0.361244019138756,0.9435276861019435,1254,801
First-day SOFA,Youden,7.0,0.45799011532125206,0.6967990515708358,0.21368178324365872,0.8772388059701492,1301,1023
First-day SOFA,Sens 0.80,3.0,0.8154859967051071,0.17190278601066983,0.1505016722408027,0.838150289017341,3289,2794
