trial,learning_rate,l2,lstm1,lstm2,dropout,auroc_mean,auroc_std
0,0.001,0.001,48,24,0.3,0.8628097001966631,0.003960697797756141
1,5e-05,0.01,64,16,0.2,0.8645830917670768,0.004982143904549827
2,0.0001,0.001,64,32,0.4,0.8657635013502502,0.0034198984733107905
3,5e-05,0.005,32,32,0.3,0.8667906010973688,0.004693786269251938
4,0.0001,0.005,32,32,0.4,0.8680976528095138,0.004966885209118273
5,0.0001,0.005,64,24,0.3,0.8661464375844057,0.005727902342140674
6,0.0001,0.01,32,24,0.4,0.8658978071422928,0.00792884137934455
7,0.001,0.001,64,16,0.3,0.8624303464906667,0.004989029365626121
8,0.001,0.001,64,24,0.2,0.8619066724433506,0.005828999485001525
9,5e-05,0.005,64,32,0.4,0.8664006250586951,0.003293145526091637
10,5e-05,0.01,48,24,0.3,0.8648525854127823,0.0062069955353344615
11,0.001,0.005,32,32,0.4,0.863281476415489,0.008260493804731915
12,5e-05,0.001,48,32,0.3,0.8646147421751781,0.004296893175831335
13,0.001,0.001,48,16,0.3,0.8626665664134602,0.004649398242659105
14,5e-05,0.01,48,16,0.4,0.8651105993238911,0.0051355377718432195
