trial,learning_rate,l2,d_model,n_heads,ff_dim,n_layers,dropout,auroc_mean,auroc_std
0,0.001,0.001,64,4,128,3,0.1,0.861880953168701,0.005768366149278106
1,5e-05,0.01,32,4,256,3,0.3,0.8621143481105448,0.00485944037241536
2,5e-05,0.001,64,2,256,2,0.2,0.8658929373323455,0.0048948788264141455
3,0.0001,0.01,128,8,128,2,0.3,0.8642257627870151,0.006469583576192593
4,0.0001,0.005,64,2,64,2,0.3,0.8642031736545687,0.005285377177989047
5,0.001,0.001,128,2,128,1,0.3,0.8627070373785344,0.008487157835918033
6,5e-05,0.005,32,8,128,3,0.3,0.8644446101663602,0.002847000984564265
7,5e-05,0.001,32,4,128,2,0.1,0.8605844666921958,0.0056438065543671125
8,0.0001,0.01,128,8,256,3,0.2,0.8626041561966241,0.0023287105731166326
9,5e-05,0.005,32,8,128,1,0.2,0.859431354245856,0.006740446634657612
10,5e-05,0.01,64,2,256,2,0.1,0.8626373414404608,0.005339497870110397
11,0.001,0.005,128,8,128,1,0.3,0.8595826456850081,0.009283520578474846
12,0.0001,0.001,32,2,256,3,0.2,0.8622664214192769,0.0007319792333360106
13,5e-05,0.001,64,8,64,1,0.3,0.8663383848823053,0.005449116874466562
14,0.0001,0.01,128,2,256,1,0.3,0.8632383595991943,0.005227609797095212
