Variable,"Survivors (n=16,866)","Non-survivors (n=3,036)",p
"Age, years","68 [57, 78]","71 [60, 81]",<0.001
Sex,,,0.006
  Female,"6,901 (40.9)","1,324 (43.6)",
  Male,"9,965 (59.1)","1,712 (56.4)",
Race or ethnicity,,,<0.001
  African American,"1,389 (8.2)",262 (8.6),
  Asian,451 (2.7),89 (2.9),
  Caucasian,"11,614 (68.9)","1,866 (61.5)",
  Hispanic,601 (3.6),84 (2.8),
  Native American,30 (0.2),5 (0.2),
  Other/Unknown,"2,781 (16.5)",730 (24.0),
First-day SOFA,"5 [3, 7]","7 [4, 10]",<0.001
SOFA at sepsis onset,"3 [2, 4]","4 [2, 5]",<0.001
Charlson comorbidity index,"5 [3, 8]","6 [4, 9]",<0.001
Minimum Glasgow Coma Scale,"14 [10, 14]","6 [3, 13]",<0.001
Vasopressor use,"4,746 (28.1)","1,641 (54.1)",<0.001
Invasive ventilation,"10,430 (61.8)","2,174 (71.6)",<0.001
"Heart rate, beats/min","85 [76, 96]","91 [79, 104]",<0.001
"Mean arterial pressure, mmHg","76 [70, 82]","73 [68, 81]",<0.001
"Respiratory rate, breaths/min","19 [17, 22]","21 [18, 24]",<0.001
"Lactate, mmol/L","1.8 [1.2, 2.5]","2.2 [1.4, 3.8]",<0.001
"Creatinine, mg/dL","1.0 [0.7, 1.5]","1.3 [0.8, 2.2]",<0.001
"White blood cells, K/uL","12.0 [8.7, 16.0]","12.8 [8.8, 18.2]",<0.001
