W (h),S (h),Windows per patient,AUROC,AUPRC,Calibration slope
6,1,19,0.9099 (0.0029),0.7107 (0.0105),1.007 (0.096)
6,3,7,0.9086 (0.0039),0.7034 (0.0182),1.013 (0.060)
6,6,4,0.9080 (0.0045),0.6992 (0.0214),1.043 (0.046)
12,1,13,0.9083 (0.0062),0.7023 (0.0198),0.908 (0.090)
12,2,7,0.9096 (0.0068),0.7032 (0.0217),0.935 (0.096)
12,3,5,0.9098 (0.0062),0.7034 (0.0213),0.956 (0.051)
12,4,4,0.9100 (0.0072),0.7030 (0.0245),0.961 (0.055)
12,6,3,0.9084 (0.0074),0.6981 (0.0247),0.988 (0.067)
18,1,7,0.9078 (0.0067),0.7000 (0.0221),0.853 (0.086)
18,3,3,0.9069 (0.0073),0.6968 (0.0248),0.903 (0.058)
18,6,2,0.9031 (0.0080),0.6882 (0.0258),0.964 (0.077)
24,1,1,0.8843 (0.0081),0.6469 (0.0289),1.027 (0.079)
