Model,Hyperparameter,Search space,Selected
Proposed model,Learning rate,"0.001, 0.0001, 0.00005",0.0001
Proposed model,L2 regularisation,"0.01, 0.005, 0.001",0.005
Proposed model,"Units, first Bi-GRU layer","32, 48, 64",32
Proposed model,"Units, second Bi-GRU layer","16, 24, 32",32
Proposed model,Dropout rate,"0.2, 0.3, 0.4",0.4
Bi-LSTM,Learning rate,"0.001, 0.0001, 0.00005",0.0001
Bi-LSTM,L2 regularisation,"0.01, 0.005, 0.001",0.005
Bi-LSTM,"Units, first Bi-LSTM layer","32, 48, 64",32
Bi-LSTM,"Units, second Bi-LSTM layer","16, 24, 32",32
Bi-LSTM,Dropout rate,"0.2, 0.3, 0.4",0.4
Transformer,Learning rate,"0.001, 0.0001, 0.00005",5e-05
Transformer,L2 regularisation,"0.01, 0.005, 0.001",0.001
Transformer,Model dimension,"32, 64, 128",64
Transformer,Attention heads,"2, 4, 8",8
Transformer,Feed-forward dimension,"64, 128, 256",64
Transformer,Encoder layers,"1, 2, 3",1
Transformer,Dropout rate,"0.1, 0.2, 0.3",0.3
XGBoost,Boosting rounds,"200, 400, 800",800
XGBoost,Maximum depth,"3, 5, 7",7
XGBoost,Learning rate,"0.01, 0.05, 0.1",0.01
XGBoost,Row subsample,"0.6, 0.8, 1.0",0.8
XGBoost,Column subsample,"0.6, 0.8, 1.0",0.6
XGBoost,Minimum child weight,"1, 5, 10",10
CatBoost,Boosting rounds,"200, 400, 800",800
CatBoost,Tree depth,"4, 6, 8",8
CatBoost,Learning rate,"0.01, 0.05, 0.1",0.05
CatBoost,L2 leaf regularisation,"1, 3, 10",10
CatBoost,Row subsample,"0.6, 0.8, 1.0",0.8
