Window (hours),Right-aligned,AUROC,AUPRC
0-5,No,0.8970 (0.0051),0.6809 (0.0125)
1-6,No,0.8992 (0.0053),0.6842 (0.0102)
2-7,No,0.8997 (0.0047),0.6872 (0.0110)
3-8,No,0.9033 (0.0051),0.6966 (0.0120)
4-9,No,0.9023 (0.0048),0.6946 (0.0147)
5-10,No,0.9029 (0.0045),0.6974 (0.0133)
6-11,No,0.9040 (0.0038),0.6996 (0.0138)
7-12,No,0.9041 (0.0037),0.6993 (0.0156)
8-13,No,0.9050 (0.0038),0.7022 (0.0178)
9-14,No,0.9063 (0.0032),0.7059 (0.0127)
10-15,No,0.9070 (0.0037),0.7075 (0.0149)
11-16,No,0.9084 (0.0040),0.7118 (0.0143)
12-17,No,0.9098 (0.0051),0.7139 (0.0174)
13-18,No,0.9096 (0.0046),0.7145 (0.0177)
14-19,No,0.9110 (0.0045),0.7181 (0.0149)
15-20,No,0.9099 (0.0038),0.7182 (0.0123)
16-21,No,0.9098 (0.0035),0.7194 (0.0122)
17-22,No,0.9089 (0.0032),0.7164 (0.0109)
18-23,Yes,0.9094 (0.0030),0.7212 (0.0114)
